iter	Logloss
1135	0.2664160466
1140	0.2663940972
1145	0.2663734809
1150	0.266359964
1155	0.2663450831
1160	0.2663217386
1165	0.2663056176
1170	0.2662916357
1175	0.2662777778
1180	0.266265966
1185	0.2662481709
1190	0.2662326699
1195	0.2662155878
1200	0.2661969556
1205	0.2661837178
1210	0.2661702009
1215	0.2661546069
1220	0.2661379278
1225	0.2661277592
1230	0.2661108941
1235	0.2660974392
1240	0.2660820002
1245	0.2660687314
1250	0.2660564856
1255	0.266046348
1260	0.266030816
1265	0.2660176091
1270	0.2660015191
1275	0.2659823909
1280	0.2659713852
1285	0.2659554501
1290	0.2659396391
1295	0.2659158606
1300	0.2659007937
1305	0.2658874628
1310	0.265875527
1315	0.2658606461
1320	0.2658462612
1325	0.265828373
1330	0.2658151042
1335	0.2658059896
1340	0.2657912016
1345	0.2657723524
1350	0.2657550223
1355	0.2657397693
1360	0.2657260045
1365	0.2657104105
1370	0.2656974206
1375	0.2656852679
1380	0.2656677517
1385	0.2656531188
1390	0.2656432602
1395	0.2656278832
1400	0.2656157924
1405	0.2656016865
1410	0.2655911148
1415	0.265578001
1420	0.265563027
1425	0.2655496032
1430	0.2655384425
1435	0.2655276228
1440	0.2655132688
1445	0.2655029142
1450	0.2654921875
1455	0.2654793837
1460	0.265468998
1465	0.2654508309
1470	0.265438027
1475	0.265422588
1480	0.2654129464
1485	0.2654023748
1490	0.2653898189
1495	0.2653795263
1500	0.2653640563
1505	0.2653514695
1510	0.2653388207
1515	0.2653207465
1520	0.2653106709
1525	0.2652979291
1530	0.265281591
1535	0.265265036
1540	0.2652522941
1545	0.265235119
1550	0.2652225012
1555	0.2652084263
1560	0.2651956535
1565	0.2651845548
1570	0.2651697979
1575	0.265156281
1580	0.2651426091
1585	0.2651314484
1590	0.2651174665
1595	0.2651066468
1600	0.2650909598
1605	0.2650793651
1610	0.2650651662
1615	0.2650573227
1620	0.265047092
1625	0.2650329861
1630	0.2650207403
1635	0.2650079055
1640	0.2649958457
1645	0.2649811198
1650	0.2649698971
1655	0.2649575893
1660	0.2649451575
1665	0.2649366629
1670	0.2649240761
1675	0.2649120474
1680	0.2649040179
1685	0.2648923611
1690	0.2648812624
1695	0.2648656374
1700	0.2648518105
1705	0.2648377046
1710	0.2648300161
1715	0.2648145461
1720	0.2648044085
1725	0.2647927827
1730	0.2647822731
1735	0.2647664
1740	0.2647520151
1745	0.2647393353
1750	0.2647282056
1755	0.2647137587
1760	0.2647016059
1765	0.2646897941
1770	0.2646727431
1775	0.2646613653
1780	0.2646467944
1785	0.2646343936
1790	0.2646215898
1795	0.2646128162
1800	0.2645983073
1805	0.2645894407
1810	0.2645798301
1815	0.2645690414
1820	0.2645590588
1825	0.264547123
1830	0.2645343502
1835	0.2645221664
1840	0.2645088046
1845	0.2644931486
1850	0.2644824219
1855	0.2644673239
1860	0.2644523189
1865	0.2644418403
1870	0.2644320126
1875	0.264421875
1880	0.2644135355
1885	0.2644015377
1890	0.2643918031
1895	0.2643806734
1900	0.2643718998
1905	0.2643606151
1910	0.2643488653
1915	0.2643383557
1920	0.264327567
1925	0.2643158482
1930	0.2643044085
1935	0.2642902716
1940	0.264280692
1945	0.26426609
1950	0.2642566034
1955	0.2642425595
1960	0.2642282986
1965	0.2642138207
1970	0.2642050161
1975	0.2641909102
1980	0.2641802765
1985	0.2641679377
1990	0.2641548239
1995	0.2641428881
2000	0.2641299913
2005	0.2641190166
2010	0.264108631
2015	0.2640976252
2020	0.2640855965
2025	0.2640753658
2030	0.2640641431
2035	0.2640552145
2040	0.2640444258
2045	0.2640350632
2050	0.2640220424
2055	0.2640120288
2060	0.2639960007
2065	0.263983879
2070	0.2639706101
2075	0.2639585193
2080	0.2639473586
2085	0.2639345238
2090	0.2639247892
2095	0.2639133185
2100	0.2638992436
2105	0.263890718
2110	0.2638772321
2115	0.2638617932
2120	0.2638512215
2125	0.2638406498
2130	0.2638258929
2135	0.2638155692
2140	0.2638060826
2145	0.2637938368
2150	0.2637777158
2155	0.2637681672
2160	0.2637566964
2165	0.2637459387
2170	0.2637324839
2175	0.2637252294
2180	0.2637101314
2185	0.2637002728
2190	0.2636922743
2195	0.2636798115
2200	0.263671875
2205	0.2636623574
2210	0.2636512897
2215	0.263640129
2220	0.2636260541
2225	0.2636132812
2230	0.2636019035
2235	0.2635895027
2240	0.2635796751
2245	0.2635688554
2250	0.2635575087
2255	0.263546906
2260	0.2635359623
2265	0.2635275608
2270	0.263515625
2275	0.2635037512
2280	0.2634966518
2285	0.2634854601
2290	0.2634708271
2295	0.2634611545
2300	0.2634511409
2305	0.2634402282
2310	0.2634308036
2315	0.2634183408
2320	0.2634089782
2325	0.2633950893
2330	0.2633891059
2335	0.2633760231
2340	0.26335891
2345	0.2633491753
2350	0.2633379836
2355	0.263328528
2360	0.2633178323
2365	0.2633092138
2370	0.263296875
2375	0.2632839162
2380	0.2632694692
2385	0.2632573165
2390	0.2632463108
2395	0.2632279576
2400	0.2632160218
2405	0.2632093874
2410	0.2631986917
2415	0.2631847098
2420	0.2631742001
2425	0.2631666357
2430	0.2631535218
2435	0.2631431052
2440	0.2631354477
2445	0.2631232329
2450	0.2631128782
2455	0.2631017175
2460	0.2630876736
2465	0.263077939
2470	0.2630697545
2475	0.263062314
2480	0.2630500372
2485	0.2630388455
2490	0.2630303819
2495	0.2630234065
2500	0.2630099516
2505	0.2629979229
2510	0.262984189
2515	0.2629736793
2520	0.2629617436
2525	0.262953063
2530	0.2629403522
2535	0.2629272073
2540	0.2629177827
2545	0.2629039559
2550	0.2628933842
2555	0.2628842696
2560	0.2628696057
2565	0.2628580729
2570	0.2628471292
2575	0.2628348834
2580	0.2628219866
2585	0.2628115389
2590	0.2628009053
2595	0.2627882564
2600	0.2627783358
2605	0.2627689422
2610	0.2627569134
2615	0.2627453187
2620	0.262734964
2625	0.2627229043
2630	0.2627120846
2635	0.2627022879
2640	0.2626910652
2645	0.2626777964
2650	0.2626664807
2655	0.2626547929
2660	0.2626431982
2665	0.2626299603
2670	0.2626223958
2675	0.2626108321
2680	0.2625996714
2685	0.2625877046
2690	0.262578466
2695	0.2625690724
2700	0.2625595238
2705	0.2625510293
2710	0.2625386285
2715	0.2625266927
2720	0.2625134239
2725	0.262500496
2730	0.2624904824
2735	0.2624791357
2740	0.2624652778
2745	0.2624558532
2750	0.2624456845
2755	0.2624362599
2760	0.2624242001
2765	0.2624108383
2770	0.2623987475
2775	0.2623877728
2780	0.2623802703
2785	0.2623686136
2790	0.2623557788
2795	0.26234344
2800	0.2623324653
2805	0.2623267299
2810	0.2623147011
2815	0.2623020523
2820	0.2622892175
2825	0.2622794829
2830	0.2622686632
2835	0.2622577505
2840	0.2622474578
2845	0.2622362041
2850	0.2622293837
2855	0.2622167039
2860	0.2622078063
2865	0.2621969556
2870	0.2621863219
2875	0.2621754092
2880	0.2621672557
2885	0.262156312
2890	0.2621474454
2895	0.2621368738
2900	0.2621228919
2905	0.2621106461
2910	0.2621030506
2915	0.262093006
2920	0.2620846044
2925	0.2620745908
2930	0.262062035
2935	0.2620545635
2940	0.2620424727
2945	0.26203125
2950	0.2620148189
2955	0.2620055494
2960	0.2619956597
2965	0.2619866381
2970	0.2619772755
2975	0.2619672619
2980	0.2619539621
2985	0.2619462116
2990	0.2619338108
2995	0.2619272383
2999	0.2619202009
